PARENT_VARIABLE	PARENT_CLASS	VARIABLE	CLASS	TOTAL	SURVIVED	DIED	ENTROPY
sex::pclass	female::1	SURVIVAL	ALL	94	91	3	0.204

PARENT_VARIABLE	PARENT_CLASS	VARIABLE	CLASS	TOTAL	SURVIVED	DIED	ENTROPY
sex::pclass	female::1	family	0	34	33	1	0.069
sex::pclass	female::1	family	1	60	58	2	0.204
			Overall Entropy	0.204
	Information Gain	0.000

PARENT_VARIABLE	PARENT_CLASS	VARIABLE	CLASS	TOTAL	SURVIVED	DIED	ENTROPY
sex::pclass	female::1	under_5s	0	93	91	2	0.148
sex::pclass	female::1	under_5s	1	1	0	1	0.148
			Overall Entropy	0.148
	Information Gain	0.056

PARENT_VARIABLE	PARENT_CLASS	VARIABLE	CLASS	TOTAL	SURVIVED	DIED	ENTROPY
sex::pclass	female::1	embarked	C	43	42	1	0.073
sex::pclass	female::1	embarked	Q	1	1	0	0.073
sex::pclass	female::1	embarked	S	50	48	2	0.202
			Overall Entropy	0.202
	Information Gain	0.002

PARENT_VARIABLE	PARENT_CLASS	VARIABLE	CLASS	TOTAL	SURVIVED	DIED	ENTROPY
sex::pclass	female::1	fare_range	cheap	27	26	1	0.066
sex::pclass	female::1	fare_range	expensive	12	12	0	0.066
sex::pclass	female::1	fare_range	regular	55	53	2	0.198
			Overall Entropy	0.198
	Information Gain	0.006

PARENT_VARIABLE	PARENT_CLASS	VARIABLE	CLASS	TOTAL	SURVIVED	DIED	ENTROPY
sex::pclass	female::1	known_cabin	0	13	13	0	0.000
sex::pclass	female::1	known_cabin	1	81	78	3	0.197
			Overall Entropy	0.197
	Information Gain	0.007

PARENT_VARIABLE	PARENT_CLASS	VARIABLE	CLASS	TOTAL	SURVIVED	DIED	ENTROPY
sex::pclass	female::2	SURVIVAL	ALL	76	70	6	0.398

PARENT_VARIABLE	PARENT_CLASS	VARIABLE	CLASS	TOTAL	SURVIVED	DIED	ENTROPY
sex::pclass	female::2	family	0	32	29	3	0.189
sex::pclass	female::2	family	1	44	41	3	0.397
			Overall Entropy	0.397
	Information Gain	0.002

